date,codename,description,ip
1470716384,f6b0nrgwOZznfaYAWO1P,SKBR3_PacBio_Sniffles,::1
1470716436,f6b0nrgwOZznfaYAWO1P,SKBR3_PacBio_Sniffles,::1
1470716536,mfCXMlBdTneiR4rCKEAS,TEST,::1
1470716684,mfCXMlBdTneiR4rCKEAS,TEST,::1
1470716716,mfCXMlBdTneiR4rCKEAS,TEST,::1
1470716797,mfCXMlBdTneiR4rCKEAS,TEST,::1
1470716841,mfCXMlBdTneiR4rCKEAS,TEST,::1
1470716871,mfCXMlBdTneiR4rCKEAS,TEST,::1
1471577204,DKT8TcZEEjC2s8T5hV6j,208_delly,::1
1471577877,se7eLtAyFde9WIdYOOZD,208_delly,::1
1472070092,yDPWFShsPB1ZZRWPM7nF,208_SURVIVOR,::1
1472070650,jQtEGf86Ns5PKfRAYuX1,208_survivor_test,::1
1472070888,qbsc0gVx9YMtkloaqLoq,208_survivor_test,::1
1472685525,aeOGxciISh37xEtxnBLe,SK_BR_3_breast_cancer_cell_line____PacBio_sequencing,::1
