date,codename,description,ip
1470716384,f6b0nrgwOZznfaYAWO1P,SKBR3_PacBio_Sniffles,::1
1470716436,f6b0nrgwOZznfaYAWO1P,SKBR3_PacBio_Sniffles,::1
1470716536,mfCXMlBdTneiR4rCKEAS,TEST,::1
1470716684,mfCXMlBdTneiR4rCKEAS,TEST,::1
1470716716,mfCXMlBdTneiR4rCKEAS,TEST,::1
1470716797,mfCXMlBdTneiR4rCKEAS,TEST,::1
1470716841,mfCXMlBdTneiR4rCKEAS,TEST,::1
1470716871,mfCXMlBdTneiR4rCKEAS,TEST,::1
1471577204,DKT8TcZEEjC2s8T5hV6j,208_delly,::1
1471577877,se7eLtAyFde9WIdYOOZD,208_delly,::1
1472070092,yDPWFShsPB1ZZRWPM7nF,208_SURVIVOR,::1
1472070650,jQtEGf86Ns5PKfRAYuX1,208_survivor_test,::1
1472070888,qbsc0gVx9YMtkloaqLoq,208_survivor_test,::1
1472685525,aeOGxciISh37xEtxnBLe,SK_BR_3_breast_cancer_cell_line____PacBio_sequencing,::1
1472938060,KzNf0GS39WzAhxTz5S3G,SKBR3_test,::1
1473033172,nzs40WuujjRK8dKDAWEc,A549_Illumina_data,::1
1473033485,vsQxndLyV30SfzNCobQE,A549,::1
1473033547,VmaZWTX86Ud93zI6j1lJ,A549,::1
1473034142,B5JLkcPRn32wxOKFrlOm,A549,::1
1473034211,vooD2UmAqoItSAoHS8h1,A549,::1
1473034255,9lq9Zrq6ycliTJL0ihyk,A549,::1
1473034326,d9mUY7hgC9qhp3eoxgAL,MCF7,::1
1473092880,Acy77OfACXxdPq3mMABN,SKBR3_PacBio,::1
1473092935,vcKZOZCCb99ttnPSdpLF,MCF7,::1
1473092956,LB9vri8c19kXEn0tpTDt,A549,::1
1473093067,eBTG6GfwdlWnFLeixKiU,SKBR3_from_csv,::1
1473093132,yMQ9yGsncnzZ9eJrvZft,SKBR3_from_CSV,::1
1473093214,TPxD93gIZrzXgK7YW2aP,SKBR3_from_csv,::1
1473095110,5pR1c5latLfkVvYiw7Zd,A549_Illumina_data_with_variants_filtered_to_1kb_min_size_and_10_min_reads,::1
